phone number,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
405-7204,286.7,77,12.9,4.7,3,1.27,3
329-5377,188.1,114,8.46,11,5,2.97,0
408-9572,127.1,143,5.72,9.7,4,2.62,5
380-9879,151.2,111,6.8,11.6,5,3.13,1
384-9243,210.8,106,9.49,11.6,6,3.13,2
404-5597,220.6,98,9.93,12.9,4,3.48,1
359-7521,142.2,87,6.4,13.8,3,3.73,3
327-4795,198.5,111,8.93,7.6,6,2.05,3
338-7955,255.8,103,11.51,11.9,6,3.21,1
351-7807,64.2,94,2.89,13.7,6,3.7,1
342-9394,165,79,7.43,10,8,2.7,1
384-6264,229.7,92,10.34,9.7,4,2.62,1
352-4534,157.6,107,7.09,7.1,6,1.92,1
378-4617,203.1,86,9.14,10.4,6,2.81,4
364-9567,220.3,67,9.91,12.2,2,3.29,1
371-5875,293.9,104,13.23,8.8,4,2.38,1
383-6489,221.5,96,9.97,14.7,7,3.97,4
345-7117,240,102,10.8,9.8,5,2.65,2
384-3902,188.2,109,8.47,11.5,5,3.11,0
386-2759,171,110,7.69,10.9,4,2.94,2
356-1270,231.5,89,10.42,10.1,4,2.73,2
379-1336,174.4,82,7.85,9.4,2,2.54,1
354-7201,193.8,88,8.72,8.3,5,2.24,3
404-5057,253.6,79,11.41,10.5,2,2.84,0
407-8012,180.8,103,8.14,7.7,6,2.08,1
328-1373,197.9,109,8.91,8.3,2,2.24,3
411-6501,201.1,91,9.05,5.6,4,1.51,3
329-8056,191.1,122,8.6,7.4,3,2,0
329-6192,241.3,68,10.86,8.5,7,2.3,0
384-3904,176.2,75,7.93,9.3,1,2.51,0
373-1028,230.5,109,10.37,5.3,3,1.43,1
369-1220,234.5,69,10.55,9.9,3,2.67,1
359-9369,204.8,91,9.22,9.1,7,2.46,1
415-3016,280,81,12.6,13.2,7,3.56,1
350-2250,250.7,65,11.28,10.3,7,2.78,3
383-9355,163.6,109,7.36,11.3,4,3.05,1
417-3257,249,72,11.21,10.2,6,2.75,2
336-8010,164.3,113,7.39,12.9,3,3.48,2
354-7718,289.9,125,13.05,12.3,2,3.32,0
358-4412,259.6,107,11.68,12,4,3.24,1
368-8972,170.9,104,7.69,5.4,3,1.46,0
407-9841,185.9,97,8.37,9.8,3,2.65,0
393-5208,180.6,103,8.13,6.7,2,1.81,0
374-5530,289.3,74,13.02,9.8,9,2.65,1
332-3381,214.6,104,9.66,9.8,10,2.65,2
344-9347,200.7,71,9.03,8.5,6,2.3,0
393-4528,140.5,109,6.32,8.1,4,2.19,1
347-2378,254.3,103,11.44,8.5,3,2.3,1
385-2699,178.1,130,8.01,7.8,3,2.11,1
383-4319,146.8,121,6.61,4.2,4,1.13,2
352-7915,197.5,112,8.89,10.2,5,2.75,1
375-5547,155.6,83,7,13.8,3,3.73,1
337-2348,147,108,6.61,9.6,3,2.59,1
342-8702,193.2,115,8.69,13.4,4,3.62,0
393-5802,245.9,94,11.07,16.4,5,4.43,2
384-2219,292.8,100,13.18,9.9,5,2.67,2
347-6164,138.4,87,6.23,13,1,3.51,1
376-9940,234.9,65,10.57,12.5,9,3.38,3
354-4352,174.9,119,7.87,13.2,4,3.56,1
331-8713,229.8,106,10.34,12.6,3,3.4,0
341-3663,159.4,147,7.17,8.7,3,2.35,2
376-4665,170.2,98,7.66,10.9,3,2.94,2
421-9034,270.9,104,12.19,10,1,2.7,2
401-5169,142.1,103,6.39,7.2,6,1.94,3
370-8262,231.4,70,10.41,10.2,3,2.75,0
387-2041,174.6,107,7.86,0,0,0,2
356-4146,164.6,84,7.41,10.7,5,2.89,0
336-1880,265,63,11.93,12.2,3,3.29,2
347-5843,281.9,126,12.69,12.4,4,3.35,0
370-8023,208.7,95,9.39,7.9,5,2.13,2
417-9814,224.8,83,10.12,8.4,5,2.27,2
387-3422,216.4,128,9.74,7.8,8,2.11,1
365-1664,186.9,129,8.41,12.1,4,3.27,1
367-2436,197.9,61,8.91,8.4,9,2.27,2
344-6258,214.7,90,9.66,7.8,10,2.11,3
353-8928,236.3,91,10.63,11.8,4,3.19,1
365-7784,197.2,94,8.87,9.7,2,2.62,0
344-3131,229.1,111,10.31,13.1,8,3.54,2
378-4294,329.2,74,14.81,9.9,9,2.67,3
343-9365,204.6,131,9.21,9.2,5,2.48,2
362-5579,174.7,90,7.86,10.7,9,2.89,2
366-7616,184.2,87,8.29,10.1,4,2.73,1
397-2870,220.6,97,9.93,7.2,9,1.94,2
372-9091,152.5,98,6.86,18,2,4.86,1
396-8662,207,67,9.32,6.4,8,1.73,3
339-6446,202.1,103,9.09,14,7,3.78,1
353-5257,186.9,111,8.41,12.9,1,3.48,1
369-7295,175.1,86,7.88,14.2,2,3.83,2
344-9620,192.1,78,8.64,6.9,3,1.86,1
329-8436,255.3,62,11.49,13.2,4,3.56,3
414-6739,238.8,112,10.75,8.2,5,2.21,0
406-1730,210,86,9.45,12.2,5,3.29,2
336-9327,240.8,93,10.84,12.7,4,3.43,2
378-7418,135,85,6.08,11.9,7,3.21,1
412-6019,239.9,124,10.8,8.4,4,2.27,2
390-4789,200,96,9,6.6,4,1.78,1
386-9774,145.5,93,6.55,10.9,3,2.94,1
353-8970,146.8,114,6.61,8.9,2,2.4,1
410-5370,207.9,115,9.36,10,2,2.7,6
404-4421,185.9,100,8.37,6.7,5,1.81,2
409-3353,233,123,10.49,9.3,4,2.51,2
422-2571,204.3,115,9.19,10.8,4,2.92,2
412-3404,256.4,78,11.54,16.9,6,4.56,0
333-2964,137.9,71,6.21,9.6,5,2.59,0
406-6669,201.2,87,9.05,11.5,2,3.11,1
409-8802,210.5,116,9.47,9,6,2.43,1
354-6183,210,111,9.45,7.7,6,2.08,1
354-2434,178.5,129,8.03,8,11,2.16,1
389-7620,255.7,98,11.51,12.1,4,3.27,1
338-1724,148.2,94,6.67,10.7,8,2.89,1
399-1750,176.6,109,7.95,13.5,2,3.65,0
354-8914,216.5,95,9.74,14.4,8,3.89,2
329-9689,147.8,66,6.65,12,8,3.24,3
337-8950,243.9,114,10.98,12.8,4,3.46,3
374-1836,158.1,91,7.11,8.5,6,2.3,1
359-9454,230.1,96,10.35,7.8,3,2.11,2
417-2774,151.8,120,6.83,13.3,2,3.59,1
369-8576,226.2,90,10.18,11.1,11,3,2
372-6920,196.1,85,8.82,8.5,5,2.3,2
333-6575,225.2,122,10.13,11.8,4,3.19,0
410-1190,230.1,106,10.35,7.8,2,2.11,1
376-1641,183.3,103,8.25,8.6,4,2.32,0
393-3976,272.6,96,12.27,7.5,4,2.03,2
388-7355,237.7,121,10.7,12.8,6,3.46,1
412-7791,179.8,116,8.09,11.4,5,3.08,3
368-6111,212.4,89,9.56,9.8,1,2.65,3
401-9420,194.7,124,8.76,11.4,2,3.08,1
352-5750,193.6,114,8.71,8.9,7,2.4,3
417-3702,236.7,112,10.65,12,9,3.24,2
353-5714,185.4,52,8.34,13.9,4,3.75,1
409-9494,240.2,108,10.81,9.3,7,2.51,3
378-8342,203.8,116,9.17,12.8,3,3.46,5
417-6044,181.2,107,8.15,14.3,9,3.86,0
355-5922,224.2,128,10.09,5.8,5,1.57,1
369-5810,231.5,90,10.42,14,2,3.78,2
340-8291,221.6,96,9.97,10.3,8,2.78,1
407-7464,310.7,105,13.98,11.2,4,3.02,1
386-6411,158.7,104,7.14,11.5,5,3.11,1
410-5236,244.2,129,10.99,6.4,5,1.73,2
409-2412,102,90,4.59,15.9,4,4.29,3
400-7280,282.9,91,12.73,14.1,8,3.81,2
373-4483,89.7,89,4.04,9.9,3,2.67,3
347-6717,222.5,98,10.01,6.7,2,1.81,4
380-2929,344.3,82,15.49,10.7,6,2.89,1
420-7692,143.7,117,6.47,5.9,4,1.59,1
380-6437,158.7,59,7.14,11.8,3,3.19,0
377-8309,253.4,71,11.4,8.4,8,2.27,2
407-2718,128.9,137,5.8,7.1,9,1.92,1
381-3735,134.3,93,6.04,10.9,4,2.94,1
409-8453,267.6,115,12.04,16,3,4.32,0
395-6758,179,89,8.06,10.7,2,2.89,2
399-5424,294.8,121,13.27,6.9,5,1.86,1
374-6525,297.1,119,13.37,11,7,2.97,1
406-8665,164.5,107,7.4,7.5,16,2.03,4
342-7716,255.4,117,11.49,11.6,2,3.13,4
417-2221,193.6,106,8.71,10.9,7,2.94,2
348-7448,257,106,11.57,12,5,3.24,2
328-8179,123.2,111,5.54,12.6,6,3.4,2
389-4602,247.2,104,11.12,12.5,1,3.38,1
413-2238,118,98,5.31,6.8,3,1.84,4
348-6008,225.5,99,10.15,9.8,3,2.65,2
371-5655,146.2,109,6.58,12.4,2,3.35,2
374-5224,127.4,74,5.73,11.8,3,3.19,1
371-1187,232.5,73,10.46,10.6,3,2.86,0
337-1100,244.6,75,11.01,12.6,7,3.4,2
421-8141,170.8,114,7.69,10,4,2.7,1
406-2678,236.6,65,10.65,6,6,1.62,2
415-9649,208.4,80,9.38,5.9,9,1.59,3
364-8128,241.6,104,10.87,11.4,9,3.08,2
356-7817,264,55,11.88,12.2,4,3.29,1
404-6357,299.6,109,13.48,10.8,3,2.92,3
398-2138,302,72,13.59,11.3,5,3.05,1
378-8029,210.4,114,9.47,10,4,2.7,1
386-4215,160.3,85,7.21,10.6,7,2.86,3
367-8156,188.2,113,8.47,12.4,2,3.35,0
354-2985,153.3,122,6.9,11.5,6,3.11,5
397-7125,294.5,100,13.25,12.7,1,3.43,1
333-6296,217.8,104,9.8,9.8,3,2.65,1
365-6022,164.3,98,7.39,4.9,4,1.32,2
365-1688,253.6,90,11.41,9.2,5,2.48,3
382-4872,266.2,123,11.98,9.7,9,2.62,0
367-6136,225.9,96,10.17,12.4,5,3.35,1
404-3592,261.7,83,11.78,6.8,3,1.84,1
415-2949,161.4,119,7.26,10,5,2.7,1
375-8880,169.7,87,7.64,8.9,1,2.4,2
335-6832,158.7,89,7.14,8.9,5,2.4,3
361-8367,108.9,109,4.9,13.5,7,3.65,0
408-2002,235.1,33,10.58,16.1,5,4.35,2
376-2922,182.9,109,8.23,9.5,3,2.57,0
408-2089,395,72,17.77,12.7,7,3.43,2
347-2951,204.2,109,9.19,10.1,3,2.73,3
402-7650,145.7,110,6.56,10,4,2.7,3
391-2702,88.2,111,3.97,8.6,4,2.32,0
383-3375,204.7,106,9.21,1.1,2,0.3,2
392-2733,179,80,8.06,9,6,2.43,2
397-9933,227,89,10.22,9.5,5,2.57,2
369-4377,188.4,141,8.48,12.8,6,3.46,0
366-9430,291.6,115,13.12,5.7,9,1.54,0
353-7407,209,63,9.4,12.1,8,3.27,0
332-7391,219.7,82,9.89,14.4,6,3.89,2
405-6559,250.8,109,11.29,3.3,3,0.89,1
338-8784,170.1,84,7.65,7.7,3,2.08,2
354-5058,96.4,92,4.34,12.9,3,3.48,0
342-5701,210.2,72,9.46,13.2,4,3.56,1
378-4179,182.1,95,8.19,9.8,7,2.65,2
407-6391,122,78,5.49,14.1,3,3.81,3
404-3105,162.4,121,7.31,10,1,2.7,2
350-4820,160.4,121,7.22,10,2,2.7,1
383-8807,223.7,142,10.07,15.2,8,4.1,0
366-8382,259.7,110,11.69,7,7,1.89,3
402-9704,250.9,131,11.29,9.7,4,2.62,2
405-2209,193.5,96,8.71,11.6,4,3.13,1
397-3939,132.6,100,5.97,7.3,3,1.97,3
383-9448,168.2,79,7.57,9.8,7,2.65,2
369-9772,160.1,112,7.2,11.9,5,3.21,0
381-7003,226.6,69,10.2,12.4,4,3.35,1
352-6732,135,107,6.08,11.6,5,3.13,0
356-3333,264.7,107,11.91,8.3,3,2.24,3
333-9664,170.7,145,7.68,7.9,5,2.13,1
363-3763,203,97,9.14,12.1,13,3.27,1
345-7900,227.5,97,10.24,11.2,3,3.02,2
400-5511,154.3,85,6.94,9.7,7,2.62,4
381-7597,135.9,116,6.12,13.2,3,3.56,0
404-9775,145.1,89,6.53,9,2,2.43,2
403-1742,155.5,108,7,11.7,3,3.16,0
359-9223,182.3,111,8.2,10,3,2.7,1
336-7696,228.6,68,10.29,11.6,2,3.13,0
369-2214,166.9,89,7.51,6,3,1.62,2
411-1325,170.1,108,7.65,15.4,6,4.16,1
410-7553,312.8,78,14.08,6.1,8,1.65,1
376-4284,215.6,100,9.7,12.1,4,3.27,2
334-2800,249.1,127,11.21,4.3,6,1.16,0
369-1904,213.7,121,9.62,13.8,2,3.73,1
359-3833,226.3,123,10.18,10,6,2.7,1
348-5569,302.2,82,13.6,10.3,3,2.78,1
342-1960,166.8,105,7.51,9.6,6,2.59,1
352-9050,158.8,83,7.15,10.1,5,2.73,2
390-5316,176.3,90,7.93,13,9,3.51,2
401-4844,197,87,8.87,12,3,3.24,0
376-5471,148.7,102,6.69,9.9,1,2.67,2
409-2917,181.2,101,8.15,11.7,3,3.16,0
369-6308,166.4,155,7.49,6.2,3,1.67,2
357-7385,211.9,122,9.54,8.7,4,2.35,2
405-7119,244.2,112,10.99,14.8,8,4,1
377-2725,235.3,104,10.59,0,0,0,2
405-6398,233.6,85,10.51,11.1,3,3,1
403-1128,242.7,156,10.92,9.2,5,2.48,3
384-9682,243,116,10.93,9.9,2,2.67,1
352-5393,143,100,6.44,7.5,3,2.03,1
395-1229,139.1,65,6.26,10.8,9,2.92,0
361-9195,257.1,84,11.57,10.3,1,2.78,0
351-6366,214.7,111,9.66,12.4,2,3.35,1
346-4919,234.7,109,10.56,10.7,1,2.89,2
354-9068,243.3,80,10.95,8,7,2.16,2
369-2743,102.4,86,4.61,7.1,7,1.92,1
336-5495,155,102,6.98,13.4,1,3.62,3
391-8677,177.3,67,7.98,7.7,10,2.08,2
350-7273,171.4,105,7.71,14.2,6,3.83,1
400-6454,146.4,85,6.59,8.7,6,2.35,1
422-3052,191,88,8.59,7.9,4,2.13,0
365-6756,246.5,104,11.09,8.1,1,2.19,3
406-4158,186.5,80,8.39,12.9,2,3.48,2
383-4641,350.2,108,15.76,11.3,7,3.05,1
368-5165,149.3,69,6.72,10.7,3,2.89,0
378-2432,50.1,87,2.25,12.5,1,3.38,2
362-4159,285.4,83,12.84,5.8,7,1.57,2
363-7979,237.3,133,10.68,12,3,3.24,0
334-9818,141.8,124,6.38,12.6,9,3.4,1
332-3617,220.3,96,9.91,10.5,7,2.84,1
327-9957,169.4,80,7.62,9.5,4,2.57,3
338-7527,192.7,116,8.67,8.2,2,2.21,3
348-8711,239.7,108,10.79,14.9,3,4.02,2
421-3226,201.1,116,9.05,10.7,3,2.89,1
391-4358,215.7,82,9.71,10.5,6,2.84,1
379-2523,79.9,86,3.6,8.2,4,2.21,3
419-2369,246.8,98,11.11,12,2,3.24,1
382-1227,253.1,77,11.39,9.1,2,2.46,1
409-5749,188.6,61,8.49,5.7,3,1.54,2
362-7951,219.8,99,9.89,13.2,6,3.56,1
381-8422,166.4,128,7.49,9,13,2.43,1
360-9005,157.8,103,7.1,7.4,7,2,0
344-5967,273.1,105,12.29,12.3,6,3.32,2
396-6390,198.1,101,8.91,10.3,3,2.78,1
346-5036,178.1,98,8.01,8.5,4,2.3,0
328-7252,282.3,81,12.7,11.3,4,3.05,3
360-1745,264.3,94,11.89,9,3,2.43,2
358-2046,237.4,113,10.68,11.6,3,3.13,3
344-6935,211.9,114,9.54,9.1,2,2.46,1
358-5721,201.3,147,9.06,10.8,6,2.92,1
414-7446,200,133,9,7.2,2,1.94,0
329-9517,284.4,95,12.8,7.7,4,2.08,2
415-9553,164.2,73,7.39,9.1,3,2.46,0
413-3177,224.6,82,10.11,5.5,3,1.49,0
347-5113,176.6,135,7.95,11.1,4,3,1
330-2662,241.3,63,10.86,14.4,7,3.89,2
411-1261,194.9,76,8.77,9.3,2,2.51,1
329-8788,185.4,136,8.34,16.2,2,4.37,0
333-7869,131.2,67,5.9,10,4,2.7,2
399-4800,247.2,101,11.12,10.2,8,2.75,1
402-2072,216.9,104,9.76,9.4,3,2.54,3
355-2872,286.2,87,12.88,6.1,3,1.65,4
386-2970,203.4,98,9.15,14.4,2,3.89,2
389-6081,177.7,91,8,10.6,8,2.86,3
348-7556,224.2,122,10.09,9.1,4,2.46,1
334-9163,128.5,72,5.78,11.4,5,3.08,1
411-4293,259.3,112,11.67,13.6,8,3.67,2
375-5562,134.3,109,6.04,11.8,4,3.19,2
386-3823,177.1,110,7.97,11.6,5,3.13,1
364-6445,215.9,86,9.72,3.5,3,0.95,1
383-2251,214.4,97,9.65,11.1,4,3,0
351-3169,180.6,106,8.13,10.8,5,2.92,2
413-6380,268.1,70,12.06,11,6,2.97,2
380-9674,258.3,89,11.62,12.3,4,3.32,3
345-2319,218.4,72,9.83,10.7,6,2.89,1
377-5441,250.5,117,11.27,7.2,5,1.94,2
400-5831,143.1,80,6.44,11.4,9,3.08,1
357-5995,111,87,5,10.1,4,2.73,1
398-5954,276.7,86,12.45,13.2,2,3.56,4
385-6175,209.2,64,9.41,5.7,5,1.54,0
334-2961,96.4,111,4.34,11.2,3,3.02,0
405-4303,133.5,96,6.01,16.6,4,4.48,2
352-4401,143.7,140,6.47,14.3,9,3.86,2
347-1473,202.6,125,9.12,10.2,11,2.75,2
402-5509,204,118,9.18,12.6,4,3.4,1
367-2598,169.4,95,7.62,10.5,6,2.84,1
370-5001,243.7,146,10.97,9.9,3,2.67,1
332-3693,256.3,109,11.53,7.5,5,2.03,3
403-9766,136.3,108,6.13,11.6,9,3.13,2
363-2407,130.6,69,5.88,11.7,7,3.16,1
395-9214,177.4,84,7.98,10.4,15,2.81,3
351-8894,179.5,112,8.08,10.3,5,2.78,2
406-5003,222.2,118,10,14.3,3,3.86,1
398-1332,138.7,94,6.24,10.5,3,2.84,2
333-1012,183.4,103,8.25,10.8,7,2.92,0
391-6260,150.4,106,6.77,14,8,3.78,0
336-1353,238.5,107,10.73,9.4,2,2.54,0
365-5629,210.1,87,9.45,10,6,2.7,1
349-4397,141.5,69,6.37,11.5,4,3.11,1
380-3910,182.2,95,8.2,4.5,4,1.22,0
354-7820,272.1,85,12.24,10.1,4,2.73,1
338-9952,231.1,91,10.4,12.2,4,3.29,0
405-1821,198.9,105,8.95,8,2,2.16,0
329-8669,185.7,151,8.36,7.7,4,2.08,1
328-8808,182.1,86,8.19,10,5,2.7,2
409-3018,189.6,88,8.53,8.2,3,2.21,2
421-5994,274.2,71,12.34,4.6,4,1.24,1
354-4448,267.4,93,12.03,8.7,3,2.35,2
352-5081,278.4,98,12.53,10.6,4,2.86,1
401-7803,201,120,9.05,8.1,2,2.19,1
420-6052,226,100,10.17,10,4,2.7,0
352-6084,228.6,117,10.29,5.6,2,1.51,1
388-8583,152.9,103,6.88,7.4,3,2,1
415-3158,185.9,136,8.37,11.5,3,3.11,0
402-9304,240.2,84,10.81,11.8,6,3.19,2
341-1916,215.7,102,9.71,13.1,3,3.54,4
381-2745,158.9,73,7.15,12.1,6,3.27,0
402-5014,280.2,115,12.61,9.7,3,2.62,3
399-8846,203.1,109,9.14,12.5,2,3.38,0
348-7224,197.7,104,8.9,11.1,4,3,2
336-2190,237,105,10.67,11.2,6,3.02,1
381-4076,334.7,104,15.06,8.9,2,2.4,1
348-8464,148,79,6.66,9.1,9,2.46,2
412-7020,186.8,73,8.41,11.3,2,3.05,2
386-8432,152.8,81,6.88,9.2,2,2.48,2
337-1802,229.8,80,10.34,6.9,5,1.86,2
352-4182,208.7,85,9.39,6.6,2,1.78,3
368-5628,285.5,117,12.85,10.4,6,2.81,3
333-8996,196.8,88,8.86,6.5,3,1.76,2
353-2557,190.4,107,8.57,9.6,6,2.59,0
356-8621,173.8,113,7.82,10,2,2.7,1
354-6942,129.7,148,5.84,9.8,5,2.65,1
377-9829,137.7,100,6.2,6.2,3,1.67,1
410-5199,239.2,98,10.76,9.8,11,2.65,1
333-4492,231.9,100,10.44,8.4,2,2.27,1
405-9573,185.4,94,8.34,9.9,3,2.67,1
359-7255,136.7,107,6.15,11.1,4,3,2
419-5501,255.7,115,11.51,10.9,2,2.94,1
344-6334,125.7,98,5.66,11.6,1,3.13,0
400-1899,259,108,11.66,12.2,5,3.29,0
346-5053,183.8,77,8.27,11.8,7,3.19,1
398-2148,251.5,111,11.32,7.2,6,1.94,0
347-7675,236.2,113,10.63,14.7,2,3.97,3
411-8956,123.8,104,5.57,6.4,4,1.73,0
390-3761,141.7,83,6.38,9.1,4,2.46,1
377-3876,170.8,117,7.69,16.6,3,4.48,0
345-2476,169.4,96,7.62,5.6,5,1.51,2
337-7879,214.9,145,9.67,3.8,4,1.03,1
346-8863,259.6,137,11.68,10,3,2.7,2
390-5267,203.5,38,9.16,6.7,4,1.81,5
392-1547,200.4,122,9.02,10.4,9,2.81,2
340-8177,184.6,82,8.31,3.8,9,1.03,3
383-4802,249.7,78,11.24,0,0,0,1
378-8567,150.2,88,6.76,12.8,1,3.46,0
402-9173,211.6,126,9.52,7.7,2,2.08,2
352-3440,156.9,92,7.06,9.1,2,2.46,2
363-1413,156.7,122,7.05,13,3,3.51,1
394-8861,119.5,100,5.38,4.3,3,1.16,0
358-4036,158.1,79,7.11,10.8,4,2.92,1
392-4680,214.6,87,9.66,12.5,4,3.38,4
354-2762,158.6,88,7.14,14.4,2,3.89,4
371-5811,187.7,87,8.45,10.5,6,2.84,2
387-2014,268.1,151,12.06,8.3,3,2.24,0
411-6598,182.4,87,8.21,0,0,0,4
355-9356,201.4,68,9.06,9.4,5,2.54,0
406-4720,195.7,120,8.81,10.7,4,2.89,1
356-7239,197.3,63,8.88,15.9,2,4.29,2
328-8747,246.9,96,11.11,10.2,2,2.75,2
388-9464,212.1,94,9.54,16.7,3,4.51,2
386-8690,158.5,100,7.13,10.2,3,2.75,1
391-2231,224.3,133,10.09,9.8,3,2.65,2
332-2275,191.1,82,8.6,14.9,4,4.02,3
340-4028,120.4,97,5.42,12.9,12,3.48,1
363-3486,191.6,100,8.62,10.9,6,2.94,2
418-3181,175.4,94,7.89,11.8,6,3.19,1
351-3316,144.2,93,6.49,2.1,4,0.57,1
353-2763,224,119,10.08,9.8,2,2.65,0
353-3223,126.3,118,5.68,13.4,4,3.62,0
338-9044,88.7,100,3.99,7,5,1.89,1
341-7296,262.7,85,11.82,13.3,5,3.59,0
398-4431,205.1,116,9.23,7.3,5,1.97,1
408-5601,249.7,87,11.24,11.5,1,3.11,4
329-4474,211.4,109,9.51,7.8,2,2.11,0
357-4573,73.7,92,3.32,9.8,5,2.65,0
341-7112,230,117,10.35,14,2,3.78,0
400-3147,199,114,8.96,4.1,4,1.11,1
347-1640,236.7,67,10.65,10.5,5,2.84,1
374-9531,148.1,104,6.66,10,5,2.7,2
380-9409,256.2,108,11.53,12.9,7,3.48,2
400-7509,249.7,90,11.24,9.8,4,2.65,7
403-6225,208.1,81,9.36,8.4,4,2.27,3
382-8274,193.6,97,8.71,10.3,5,2.78,1
354-5764,140.8,75,6.34,8.6,18,2.32,1
387-6912,216.5,110,9.74,7.3,1,1.97,1
367-3950,210.6,109,9.48,9.1,4,2.46,1
393-1891,184.4,112,8.3,5.4,5,1.46,1
336-9053,235,52,10.58,11.6,7,3.13,0
386-8943,181.7,134,8.18,8.4,3,2.27,1
376-9716,217,106,9.76,8,5,2.16,1
370-8676,149.9,110,6.75,10.2,6,2.75,0
360-1320,186.2,116,8.38,7.9,2,2.13,2
329-8638,222.2,108,10,6.4,12,1.73,1
391-2334,210.5,97,9.47,10.4,5,2.81,0
373-8900,195.1,99,8.78,7,6,1.89,1
382-3512,235.3,131,10.59,11.8,4,3.19,0
420-4089,236,97,10.62,11.5,5,3.11,1
406-8465,224.5,117,10.1,6.7,2,1.81,0
386-6114,247.9,108,11.16,13,5,3.51,1
414-5177,194.8,98,8.77,9.7,6,2.62,1
350-5993,273.4,152,12.3,8.9,5,2.4,2
370-1465,242.6,99,10.92,7.9,4,2.13,1
385-2370,100.3,61,4.51,10.8,6,2.92,1
358-9146,158.5,77,7.13,11,5,2.97,3
357-8515,201.9,132,9.09,10.5,3,2.84,2
344-3145,222.4,36,10.01,12,5,3.24,3
365-4387,203.8,109,9.17,8.3,6,2.24,1
375-3341,207.3,109,9.33,7.3,5,1.97,1
418-3096,191,98,8.59,11.6,3,3.13,1
378-3879,194.3,79,8.74,12.5,3,3.38,1
419-3937,153,129,6.89,13.2,2,3.56,2
348-4961,168.4,118,7.58,13.3,3,3.59,1
329-1410,154.8,88,6.97,7.8,2,2.11,0
332-9896,225.8,104,10.16,12.3,3,3.32,0
407-8575,240.3,85,10.81,9.6,5,2.59,1
387-2799,289.3,83,13.02,14.5,4,3.92,3
373-9108,189.3,97,8.52,11.5,3,3.11,1
356-7511,236.5,80,10.64,9.4,3,2.54,1
343-4516,91.6,92,4.12,16.2,3,4.37,1
408-6305,197.3,138,8.88,10.5,2,2.84,2
338-7305,217.1,102,9.77,9.9,7,2.67,1
401-3077,191.4,77,8.61,14.1,5,3.81,3
401-6977,206.8,111,9.31,13,2,3.51,0
385-1464,128.7,85,5.79,6.7,3,1.81,5
417-5034,111.2,110,5,12.1,3,3.27,2
420-7066,244.7,110,11.01,10.6,3,2.86,1
394-8256,206.7,85,9.3,11.1,3,3,1
362-5044,250,132,11.25,5.2,6,1.4,2
350-2075,210.7,130,9.48,11.8,4,3.19,0
343-5372,229.1,87,10.31,7.1,7,1.92,2
377-9520,245.5,131,11.05,14.6,9,3.94,1
391-6773,211.5,104,9.52,6,3,1.62,5
403-4442,227.4,111,10.23,12.2,2,3.29,2
399-1021,156.9,82,7.06,9.8,4,2.65,1
342-4004,231.5,93,10.42,10.1,2,2.73,0
382-7659,220.4,99,9.92,2.9,7,0.78,0
398-5851,53.3,61,2.4,11.5,5,3.11,1
396-4869,120.8,82,5.44,15.6,12,4.21,2
422-8333,246.1,92,11.07,10.8,4,2.92,6
367-9127,203,111,9.14,9.4,6,2.54,4
420-3028,261.2,123,11.75,12.5,6,3.38,1
357-6348,205.7,114,9.26,9.2,4,2.48,0
386-1131,216.5,112,9.74,14,5,3.78,3
349-8391,238.6,69,10.74,12.5,3,3.38,3
421-1484,167.3,106,7.53,7.8,7,2.11,1
414-2663,211.4,82,9.51,13.6,3,3.67,1
327-6989,104.5,91,4.7,11.2,8,3.02,1
345-9168,164.4,97,7.4,9.4,5,2.54,3
417-5146,247.8,97,11.15,6.5,4,1.76,0
339-2792,237.3,87,10.68,6.4,3,1.73,2
345-8397,151.8,75,6.83,10.5,2,2.84,1
344-6404,294.5,83,13.25,10.5,4,2.84,0
417-9455,206.2,104,9.28,6.5,4,1.76,0
343-1009,138.1,108,6.21,8.3,2,2.24,0
365-3493,164.4,79,7.4,9,2,2.43,1
376-7043,230.1,117,10.35,8.5,2,2.3,1
357-5784,109.6,74,4.93,14.8,4,4,1
417-9844,89.6,107,4.03,12.8,5,3.46,2
333-7225,181.5,120,8.17,14,6,3.78,0
382-4943,204.6,72,9.21,15.6,3,4.21,3
404-6337,205.6,92,9.25,15.6,2,4.21,1
412-1470,233,126,10.49,12.9,2,3.48,2
394-9220,254.4,117,11.45,7,10,1.89,0
364-5362,152.2,106,6.85,9.1,7,2.46,0
372-9852,188.2,102,8.47,9.7,2,2.62,2
394-9984,218.5,101,9.83,10.7,2,2.89,2
402-1668,203.7,79,9.17,7.3,3,1.97,1
339-5659,168,116,7.56,7.1,8,1.92,3
341-7279,205.7,102,9.26,11.8,2,3.19,2
371-3236,352.2,95,15.85,8.4,5,2.27,3
343-5679,282.3,124,12.7,12.4,6,3.35,2
347-4626,151.3,101,6.81,13,4,3.51,0
344-8498,141.5,110,6.37,12.2,2,3.29,1
371-3498,168,95,7.56,8.4,6,2.27,3
367-4853,196.8,110,8.86,7.2,5,1.94,3
422-3454,218,122,9.81,10.1,4,2.73,0
403-8915,124,92,5.58,9.5,1,2.57,2
371-2418,218.3,88,9.82,9.9,3,2.67,1
389-8163,136.3,102,6.13,6.3,12,1.7,1
